team1,team2,winner,margin,matchDate,match_id
CSK,KKR,CSK,27 runs,15-Oct-21,T203817
DC,KKR,KKR,3 wickets,13-Oct-21,T206442
RCB,KKR,KKR,4 wickets,11-Oct-21,T208597
DC,CSK,CSK,4 wickets,10-Oct-21,T201819
DC,RCB,RCB,7 wickets,8-Oct-21,T205942
MI,SRH,MI,42 runs,8-Oct-21,T201979
KKR,RR,KKR,86 runs,7-Oct-21,T204179
CSK,PBKS,PBKS,6 wickets,7-Oct-21,T201866
SRH,RCB,SRH,4 runs,6-Oct-21,T209992
RR,MI,MI,8 wickets,5-Oct-21,T205599
CSK,DC,DC,3 wickets,4-Oct-21,T207682
SRH,KKR,KKR,6 wickets,3-Oct-21,T207430
RCB,PBKS,RCB,6 runs,3-Oct-21,T207754
CSK,RR,RR,7 wickets,2-Oct-21,T205672
MI,DC,DC,4 wickets,2-Oct-21,T209349
KKR,PBKS,PBKS,5 wickets,1-Oct-21,T201051
SRH,CSK,CSK,6 wickets,30-Sep-21,T203061
RR,RCB,RCB,7 wickets,29-Sep-21,T204742
PBKS,MI,MI,6 wickets,28-Sep-21,T208262
DC,KKR,KKR,3 wickets,28-Sep-21,T206700
RR,SRH,SRH,7 wickets,27-Sep-21,T206862
RCB,MI,RCB,54 runs,26-Sep-21,T203043
KKR,CSK,CSK,2 wickets,26-Sep-21,T202406
PBKS,SRH,PBKS,5 runs,25-Sep-21,T203188
DC,RR,DC,33 runs,25-Sep-21,T202046
RCB,CSK,CSK,6 wickets,24-Sep-21,T207776
MI,KKR,KKR,7 wickets,23-Sep-21,T202680
SRH,DC,DC,8 wickets,22-Sep-21,T204364
RR,PBKS,RR,2 runs,21-Sep-21,T207857
RCB,KKR,KKR,9 wickets,20-Sep-21,T204307
CSK,MI,CSK,20 runs,19-Sep-21,T201256
PBKS,DC,DC,7 wickets,2-May-21,T208407
RR,SRH,RR,55 runs,2-May-21,T209103
CSK,MI,MI,4 wickets,1-May-21,T203694
PBKS,RCB,PBKS,34 runs,30-Apr-21,T208245
KKR,DC,DC,7 wickets,29-Apr-21,T201595
RR,MI,MI,7 wickets,29-Apr-21,T209461
SRH,CSK,CSK,7 wickets,28-Apr-21,T205094
RCB,DC,RCB,1 run,27-Apr-21,T208915
PBKS,KKR,KKR,5 wickets,26-Apr-21,T209997
CSK,RCB,CSK,69 runs,25-Apr-21,T202915
KKR,RR,RR,6 wickets,24-Apr-21,T205585
MI,PBKS,PBKS,9 wickets,23-Apr-21,T204808
RR,RCB,RCB,10 wickets,22-Apr-21,T201545
CSK,KKR,CSK,18 runs,21-Apr-21,T202233
PBKS,SRH,SRH,9 wickets,21-Apr-21,T204912
MI,DC,DC,6 wickets,20-Apr-21,T207273
CSK,RR,CSK,45 runs,19-Apr-21,T209089
PBKS,DC,DC,6 wickets,18-Apr-21,T209593
RCB,KKR,RCB,38 runs,18-Apr-21,T202791
MI,SRH,MI,13 runs,17-Apr-21,T201372
PBKS,CSK,CSK,6 wickets,16-Apr-21,T205292
DC,RR,RR,3 wickets,15-Apr-21,T203570
RCB,SRH,RCB,6 runs,14-Apr-21,T202204
MI,KKR,MI,10 runs,13-Apr-21,T209194
PBKS,RR,PBKS,4 runs,12-Apr-21,T207896
KKR,SRH,KKR,10 runs,11-Apr-21,T209178
CSK,DC,DC,7 wickets,10-Apr-21,T206363
MI,RCB,RCB,2 wickets,9-Apr-21,T203784
RR,GT,GT,7 wickets,29-May-22,T202715
RCB,RR,RR,7 wickets,27-May-22,T201109
RCB,LSG,RCB,14 runs,25-May-22,T207136
RR,GT,GT,7 wickets,24-May-22,T203302
SRH,PBKS,PBKS,5 wickets,22-May-22,T204029
DC,MI,MI,5 wickets,21-May-22,T205729
CSK,RR,RR,5 wickets,20-May-22,T203588
GT,RCB,RCB,8 wickets,19-May-22,T201867
LSG,KKR,LSG,2 runs,18-May-22,T202863
SRH,MI,SRH,3 runs,17-May-22,T206060
DC,PBKS,DC,17 runs,16-May-22,T209295
RR,LSG,RR,24 runs,15-May-22,T204939
CSK,GT,GT,7 wickets,15-May-22,T204140
KKR,SRH,KKR,54 runs,14-May-22,T209676
PBKS,RCB,PBKS,54 runs,13-May-22,T203332
CSK,MI,MI,5 wickets,12-May-22,T203878
RR,DC,DC,8 wickets,11-May-22,T201826
GT,LSG,GT,62 runs,10-May-22,T207400
KKR,MI,KKR,52 runs,9-May-22,T203087
CSK,DC,CSK,91 runs,8-May-22,T205352
RCB,SRH,RCB,67 runs,8-May-22,T207464
LSG,KKR,LSG,75 runs,7-May-22,T204710
PBKS,RR,RR,6 wickets,7-May-22,T201231
MI,GT,MI,5 runs,6-May-22,T201720
DC,SRH,DC,21 runs,5-May-22,T201248
RCB,CSK,RCB,13 runs,4-May-22,T207511
GT,PBKS,PBKS,8 wickets,3-May-22,T209502
RR,KKR,KKR,7 wickets,2-May-22,T201137
CSK,SRH,CSK,13 runs,1-May-22,T206274
LSG,DC,LSG,6 runs,1-May-22,T208561
RR,MI,MI,5 wickets,30-Apr-22,T204259
RCB,GT,GT,6 wickets,30-Apr-22,T208841
LSG,PBKS,LSG,20 runs,29-Apr-22,T207116
KKR,DC,DC,4 wickets,28-Apr-22,T209582
SRH,GT,GT,5 wickets,27-Apr-22,T209115
RR,RCB,RR,29 runs,26-Apr-22,T205212
PBKS,CSK,PBKS,11 runs,25-Apr-22,T207611
LSG,MI,LSG,36 runs,24-Apr-22,T208801
RCB,SRH,SRH,9 wickets,23-Apr-22,T208774
GT,KKR,GT,8 runs,23-Apr-22,T208514
RR,DC,RR,15 runs,22-Apr-22,T206421
MI,CSK,CSK,3 wickets,21-Apr-22,T202326
PBKS,DC,DC,9 wickets,20-Apr-22,T203741
RCB,LSG,RCB,18 runs,19-Apr-22,T204535
RR,KKR,RR,7 runs,18-Apr-22,T206892
CSK,GT,GT,3 wickets,17-Apr-22,T206030
PBKS,SRH,SRH,7 wickets,17-Apr-22,T208958
RCB,DC,RCB,16 runs,16-Apr-22,T205793
LSG,MI,LSG,18 runs,16-Apr-22,T204555
KKR,SRH,SRH,7 wickets,15-Apr-22,T208105
GT,RR,GT,37 runs,14-Apr-22,T207043
PBKS,MI,PBKS,12 runs,13-Apr-22,T208002
CSK,RCB,CSK,23 runs,12-Apr-22,T203601
GT,SRH,SRH,8 wickets,11-Apr-22,T208211
RR,LSG,RR,3 runs,10-Apr-22,T207999
DC,KKR,DC,44 runs,10-Apr-22,T208705
MI,RCB,RCB,7 wickets,9-Apr-22,T204746
CSK,SRH,SRH,8 wickets,9-Apr-22,T209199
PBKS,GT,GT,6 wickets,8-Apr-22,T202634
DC,LSG,LSG,6 wickets,7-Apr-22,T204296
MI,KKR,KKR,5 wickets,6-Apr-22,T207856
RR,RCB,RCB,4 wickets,5-Apr-22,T203456
LSG,SRH,LSG,12 runs,4-Apr-22,T204825
PBKS,CSK,PBKS,54 runs,3-Apr-22,T206118
GT,DC,GT,14 runs,2-Apr-22,T205181
RR,MI,RR,23 runs,2-Apr-22,T209847
PBKS,KKR,KKR,6 wickets,1-Apr-22,T203227
CSK,LSG,LSG,6 wickets,31-Mar-22,T207058
KKR,RCB,RCB,3 wickets,30-Mar-22,T203578
RR,SRH,RR,61 runs,29-Mar-22,T205314
LSG,GT,GT,5 wickets,28-Mar-22,T202349
RCB,PBKS,PBKS,5 wickets,27-Mar-22,T208141
MI,DC,DC,4 wickets,27-Mar-22,T205838
CSK,KKR,KKR,6 wickets,26-Mar-22,T201512
GT,CSK,CSK,5 wickets,"May 28-29, 2023",T208201
GT,MI,GT,62 runs,26-May-23,T203496
MI,LSG,MI,81 runs,24-May-23,T203571
CSK,GT,CSK,15 runs,23-May-23,T206084
RCB,GT,GT,6 wickets,21-May-23,T201605
SRH,MI,MI,8 wickets,21-May-23,T206817
LSG,KKR,LSG,1 run,20-May-23,T203370
CSK,DC,CSK,77 runs,20-May-23,T206925
PBKS,RR,RR,4 wickets,19-May-23,T205037
SRH,RCB,RCB,8 wickets,18-May-23,T202467
DC,PBKS,DC,15 runs,17-May-23,T201082
LSG,MI,LSG,5 runs,16-May-23,T208249
GT,SRH,GT,34 runs,15-May-23,T208692
CSK,KKR,KKR,6 wickets,14-May-23,T206211
RCB,RR,RCB,112 runs,14-May-23,T204453
PBKS,DC,PBKS,31 runs,13-May-23,T208032
SRH,LSG,LSG,7 wickets,13-May-23,T204737
MI,GT,MI,27 runs,12-May-23,T203656
KKR,RR,RR,9 wickets,11-May-23,T205338
CSK,DC,CSK,27 runs,10-May-23,T209224
RCB,MI,MI,6 wickets,9-May-23,T205430
PBKS,KKR,KKR,5 wickets,8-May-23,T201181
RR,SRH,SRH,4 wickets,7-May-23,T201576
GT,LSG,GT,56 runs,7-May-23,T201503
RCB,DC,DC,7 wickets,6-May-23,T208517
MI,CSK,CSK,6 wickets,6-May-23,T204004
RR,GT,GT,9 wickets,5-May-23,T206195
KKR,SRH,KKR,5 runs,4-May-23,T208611
PBKS,MI,MI,6 wickets,3-May-23,T205138
DC,GT,DC,5 runs,2-May-23,T203464
RCB,LSG,RCB,18 runs,1-May-23,T203494
RR,MI,MI,6 wickets,30-Apr-23,T204100
CSK,PBKS,PBKS,4 wickets,30-Apr-23,T204443
SRH,DC,SRH,9 runs,29-Apr-23,T207344
KKR,GT,GT,7 wickets,29-Apr-23,T201505
LSG,PBKS,LSG,56 runs,28-Apr-23,T204958
RR,CSK,RR,32 runs,27-Apr-23,T204283
KKR,RCB,KKR,21 runs,26-Apr-23,T202291
GT,MI,GT,55 runs,25-Apr-23,T208781
DC,SRH,DC,7 runs,24-Apr-23,T206316
CSK,KKR,CSK,49 runs,23-Apr-23,T207135
RCB,RR,RCB,7 runs,23-Apr-23,T205220
PBKS,MI,PBKS,13 runs,22-Apr-23,T204462
GT,LSG,GT,7 runs,22-Apr-23,T208595
SRH,CSK,CSK,7 wickets,21-Apr-23,T208568
KKR,DC,DC,4 wickets,20-Apr-23,T206506
RCB,PBKS,RCB,24 runs,20-Apr-23,T209410
LSG,RR,LSG,10 runs,19-Apr-23,T205539
MI,SRH,MI,14 runs,18-Apr-23,T203831
CSK,RCB,CSK,8 runs,17-Apr-23,T206232
GT,RR,RR,3 wickets,16-Apr-23,T204210
KKR,MI,MI,5 wickets,16-Apr-23,T202897
LSG,PBKS,PBKS,2 wickets,15-Apr-23,T203424
RCB,DC,RCB,23 runs,15-Apr-23,T208157
SRH,KKR,SRH,23 runs,14-Apr-23,T209839
PBKS,GT,GT,6 wickets,13-Apr-23,T206541
RR,CSK,RR,3 runs,12-Apr-23,T201215
DC,MI,MI,6 wickets,11-Apr-23,T207664
RCB,LSG,LSG,1 wicket,10-Apr-23,T202162
PBKS,SRH,SRH,8 wickets,9-Apr-23,T206444
GT,KKR,KKR,3 wickets,9-Apr-23,T208626
MI,CSK,CSK,7 wickets,8-Apr-23,T206408
RR,DC,RR,57 runs,8-Apr-23,T207547
SRH,LSG,LSG,5 wickets,7-Apr-23,T209590
KKR,RCB,KKR,81 runs,6-Apr-23,T207668
PBKS,RR,PBKS,5 runs,5-Apr-23,T201031
DC,GT,GT,6 wickets,4-Apr-23,T205026
CSK,LSG,CSK,12 runs,3-Apr-23,T202790
MI,RCB,RCB,8 wickets,2-Apr-23,T202485
RR,SRH,RR,72 runs,2-Apr-23,T209117
LSG,DC,LSG,50 runs,1-Apr-23,T208512
PBKS,KKR,PBKS,7 runs,1-Apr-23,T202853
CSK,GT,GT,5 wickets,31-Mar-23,T201566
