Districts,TSTDC Units,Tourist Spots,TSS Artists 
ADILABAD,0,23,14
BHADRADRI,2,8,8
HYDERABAD,9,47,56
JAGTIAL ,2,9,9
JANGAON ,0,11,11
JAYASHANKAR ,5,16,17
JOGULAMBA ,3,11,7
KAMAREDDY ,0,13,10
KARIMNAGAR ,1,17,42
KHAMMAM ,0,14,17
KOMARAM BHEEM ,0,15,14
MAHABUBABAD,0,7,21
MAHABUBNAGAR,1,12,14
MANCHERIAL ,0,11,18
MEDAK ,3,11,8
MEDCHAL,1,13,14
NAGARKURNOOL ,3,16,13
NALGONDA ,3,21,24
NIRMAL ,4,22,7
NIZAMABAD ,1,18,16
PEDDAPALLI ,0,8,25
RAJANNA ,1,10,17
RANGAREDDY ,0,25,8
SANGAREDDY ,2,18,8
SIDDIPET ,3,11,45
SURYAPET ,0,23,13
VIKARABAD ,1,17,7
WANAPARTHY ,0,8,7
WARANGAL (R) ,0,6,37
WARANGAL (U),2,11,28
YADADRI ,2,12,15
